Year,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
2001,293237488.224022,264464690.14673,42862390.2850107,78365796.1906681,1565237337.60844,549830398.632177,216464108.42107
2002,299714533.892034,294403719.687681,47964704.9484634,76349792.960758,1486699729.20407,490398795.840625,203644727.945484
2003,286210801.36221,308962561.091591,41074613.5180909,68478423.4217834,1431351143.6278,459647377.353955,196000311.064377
2004,270218019.951934,305822967.693665,44020686.221632,64087089.8003429,1352089070.76558,420975000.831286,370679002.337794
2005,329316587.469595,365867461.038902,49938690.7652928,115918666.582057,1451070801.36188,506698748.725519,358546884.353957
2006,386681054.191412,368538353.093504,50226864.503939,105122770.965382,1395180527.98345,492416200.30733,346448977.428288
2007,357460209.447351,373884938.788489,45257387.2516519,93357299.6374401,1337374549.44114,510660975.246274,324616650.913132
2008,339645366.077637,333970981.998875,40100085.0013848,89878578.8619926,1290934490.90469,433451426.316386,316007739.1055
2009,324755582.810726,345492410.132968,46157566.9083752,89185975.5682345,1282952677.69114,446388527.205093,312980498.162827
2010,376950219.610481,386566373.311415,43450436.1612647,121557631.638234,1262688882.74749,391615168.975868,289450029.426993
2011,366897758.200242,391373058.273827,41327783.537271,129287770.954573,1490193095.59597,397597990.246729,301905574.914294
2012,401032173.057686,404510656.958981,50308031.6257088,114806894.096537,1397245258.35065,360014023.026726,344611870.232801
2013,417337816.368463,426327085.133043,45289284.0630171,122433163.122361,1424701269.90709,370251310.878309,347540169.651446
2014,460365530.19048,657195798.73907,53711451.7047561,130148365.846187,1505635752.44878,369917053.777508,335260744.446345
2015,488518073.352853,649999234.1356,56772250.6628424,125829069.334627,1565166160.3287,220577984.066616,369258555.076269
2016,484600586.925406,643441999.702151,57516525.1527488,120023874.051963,1582690848.54779,186115664.847227,388600500.654622
2017,472611691.791061,731407431.438207,71890061.935715,125736094.348529,1345429126.85063,263179163.10398,358251001.325231
2018,482113896.392147,696297058.786447,62811858.2380049,121680719.629118,1372708737.6272,266627561.043546,360511140.548893
2019,510652188.782066,722174159.015958,75318731.0258219,119145805.295039,1369390121.71661,277543093.29295,369288527.242949
2020,503932129.762293,744910808.038799,93358906.8271607,117214899.749765,1241821935.85081,310451731.976479,374500679.904437
2021,554439235.926869,771381952.108122,83226980.86527,154734189.407681,1229591175.96611,288675920.431323,414076773.778052
2022,565017998.418141,811389987.969758,92131663.6481772,156958426.742669,1533326745.35918,324097374.260655,430908995.146499
2023,656726413.812299,861957787.426904,84957892.7090783,153586975.606401,1712474642.12795,382225493.344042,443722901.403333
2024,696414823.381817,893366356.886458,83664902.7896972,155835896.942824,1719944930.02501,341721775.512088,437860229.68474
2025,665230887.071506,978068284.441011,92396623.7116651,173382480.944536,1871689190.42774,344938488.581385,349076404.45802
2026,634413620.985861,1035098530.17353,89763103.1778266,164376260.397147,1769050573.62839,292957206.731764,329414787.309039
2027,618407532.352046,1053579413.94236,87839273.0318758,167538414.450178,1793881811.09415,289459426.167141,343147493.320645
2028,599066193.655308,1090011166.03995,95244318.0294413,167172931.007314,1781118858.55342,373559002.02972,326187012.475054
2029,643161991.763977,1192156480.99199,92480134.9483026,174278380.21236,1892352527.46051,367389647.778103,362473737.751175
2030,649348123.720699,1143475196.43726,91532730.390803,156835638.850284,1852093613.90954,405744345.001928,373309104.30431
2031,614182083.810072,1214827822.75268,84716355.2934358,131306986.886808,1906764981.7922,417634858.569189,398989934.00512
2032,659647225.161279,1207103508.77901,91901241.3719612,125093435.713049,1606220926.29477,529835986.52198,443499557.171705
2033,589833667.631931,1129694307.78323,81078534.0423204,126876051.307369,1688400947.20167,523026715.563681,368939947.124283
2034,691322056.890399,1256299272.41957,75003750.9774185,141687594.727752,1721823001.63854,523845749.771175,340088614.412327
2035,806688204.979292,1094603917.61341,82401584.4809646,147073111.452288,2031656031.90571,538021521.127545,324245689.074344
2036,743332421.908001,1123694419.57382,84632574.1087886,156370289.496969,1993048968.29236,574457481.038892,335177425.554524
2037,793414858.28623,1361288020.8607,82262065.5431194,144619510.842352,2028317571.66866,592803617.840482,336012496.229405
2038,743418501.413276,1285689131.29907,72220532.1678966,137847479.073905,1986783238.4595,537938709.446064,364255060.069317
2039,759056634.489601,1297434769.70174,78102394.2854865,145117352.220982,2020537703.79072,510839480.368479,333463332.55306
2040,737102473.083874,1363328524.53268,70071084.6695952,132439190.099133,2017770192.3069,526758793.439755,324730144.072879
2041,731164896.237197,1303497360.94336,54471089.272718,137741077.518021,1994953168.1319,440642729.641606,338275573.83336
2042,704150254.738555,1414789061.35549,48689522.3341966,99720343.1487867,1961726345.38344,468337950.13013,326144799.178987
2043,693981508.563841,1404683036.61183,47523809.3484783,111018671.377008,1698865176.6982,458055508.367419,283315953.834472
2044,595293875.286616,1418180745.66373,49382960.9939036,113680220.67704,1448338551.65125,426812623.285409,256890681.119873
2045,613140885.700449,1336144868.88772,52860303.4219054,107809170.741837,1535409864.88681,385088801.789123,248622109.984101
2046,596143646.063735,1452603657.67154,48311799.0718693,95290878.8144342,1513969210.3026,410703514.576274,263788548.786888
2047,595563299.936957,1296564276.92304,47122772.1727164,84083874.5361589,1437411134.08223,626641842.578152,272650086.573464
2048,607984859.911975,1414329077.80989,42631237.3483218,82630596.488749,1453463176.77092,663239916.982465,418703478.331492
2049,653483242.51633,1460805115.61884,55428806.3047561,77153174.0460896,1570769404.83382,558326672.093796,426990223.811692
2050,739309349.355406,1420634830.15841,61029152.0621507,81457594.9630801,1492337416.17615,543754910.183308,406533663.146981
2051,708137115.40233,1470025697.05827,57622719.3153274,91002193.05664,1460325138.62836,602508731.924433,443634684.166997
2052,817045149.460194,1769502367.43117,55355869.7645593,97052673.5160259,1722922171.72375,572689312.874224,466253840.626444
2053,794148882.170536,1956841655.04957,63627278.4264173,113334239.043372,1735362615.53089,504123625.917943,545995230.99486
2054,801368671.93504,2246730696.90405,60865820.0491934,116633990.109759,1913738594.06825,487651537.266958,641241441.125175
2055,690475298.887004,2090301100.96614,63348239.5237819,105516976.759278,1740941612.57318,476514157.977617,656282902.402141
2056,583845639.58734,2034116937.05808,57427104.4006716,98567120.894386,1483405800.0909,557467223.008415,635237291.472158
2057,568857561.965442,2038911859.16259,73528414.4979593,99602578.7690363,1558597989.9124,494701337.183657,610382190.273515
2058,552539546.871336,1843091420.5058,65926136.8855251,120203909.569251,1629249613.13823,499138502.080475,676148629.638838
2059,565140429.669293,1833482260.50229,74833338.4949877,122396411.698169,1689282262.9008,524101711.413406,686520934.359221
2060,585450282.243892,1892249056.11244,69173023.3933692,141065596.238659,1756029177.99674,515788401.888411,704936193.764853
2061,563776962.244185,1958027633.00764,74689537.9756882,149866704.95652,1703434906.21607,553854145.233845,740817123.119895
2062,554327719.339747,1981650698.31272,79190287.3882471,173149057.05155,1757104235.52967,747205135.70822,771252998.364062
2063,519573540.827693,1756660023.83388,77228105.2827312,192180237.29456,1644475632.75088,701989572.178798,806606676.283203
2064,530506574.17866,1916902564.45496,76393564.4864765,185587313.281521,1943258250.25416,720565135.958856,821000384.730957
2065,553131155.680335,1918640386.61359,69480092.6581535,188550089.245808,1999818088.92684,683744521.620042,833711948.999678
2066,538485646.722863,1917279536.41311,70715775.3834444,203772770.725815,1903205476.10679,817494571.718797,865800672.453586
2067,548760968.795576,1762067571.48178,78105111.9238776,194934789.843781,1885407135.44064,827448636.097664,1010416094.15028
2068,563363499.356896,2153440479.09092,76855593.5108499,203572526.794277,2070397763.10028,581603209.490491,972175693.608859
2069,543919305.271609,1996663807.30971,73973075.436164,218151984.661108,2102401482.96964,585073944.384532,918224568.592151
2070,493096884.131446,2003796348.57879,65767301.7727471,230509742.871018,2326482960.53392,735643881.472776,988856528.607727
2071,410201553.058135,2014970969.73634,66076763.9281225,220061976.681516,2383983304.83829,734066823.844148,1029640070.40947
2072,454946752.97744,1949473325.71998,66501385.7391497,232670270.057629,2473114908.85509,694723311.214864,1095012894.01049
2073,378318131.4466,1674358986.03308,70090375.5060079,232764719.38495,2344197313.56074,682307621.234857,1115966885.03231
2074,425471986.170129,1511466413.90199,63073050.9208049,259217078.30307,2352750622.09178,670920797.287065,1139273522.44611
2075,415482234.053487,1293527460.78395,67622251.0281428,266775571.246425,2174640586.38692,822854142.613885,1051055008.37216
2076,477125005.54014,1284677647.04761,65947619.8184811,248147280.311388,2218043460.42766,946466183.57333,1206308615.68971
2077,539955934.487053,1361157250.65462,71005637.3252664,236781610.122359,2687581263.33965,889928598.039381,1191984635.39499
2078,594075032.519992,1467339829.7724,67296600.325809,251078029.225731,2714300290.39154,926584888.192997,1210266948.50074
2079,639134190.895231,1398162653.3644,73075360.2177527,260556464.575632,2554640047.71261,966661759.216068,1213642986.45305
2080,593936490.076054,1514524135.2922,61507433.9650822,262908315.010193,2581366571.93518,874883620.436072,1425385108.964
2081,641666063.926951,1500267904.38101,64708500.1024313,252118054.614372,2839335924.04769,1037049382.96232,1511066594.00216
2082,656837345.947069,1488925176.86629,56539382.452371,255526025.067842,3106282403.8803,969761013.876989,1405126816.43375
2083,632841050.028051,1470325386.82583,59056271.0961499,234596631.40021,3184756310.89861,847159765.575209,1522797095.17248
2084,646751713.098471,1550033423.61084,61637445.4795685,231404720.216221,3193914059.26275,816434425.345265,1518207592.53481
2085,630303905.617022,1464987102.8042,58932355.3132047,249435712.269739,3111828234.68466,825186660.997961,1598845600.54104
2086,659797852.173593,1485048666.3933,62860593.159607,256946060.806854,3107875874.23854,849641330.522197,1604553719.69191
2087,724655289.778789,1624029217.39601,65579865.1266693,265736770.578892,3222390106.78635,851912113.279228,1533802915.41415
2088,719671424.015365,1748379783.45773,63927345.9384549,286991623.268289,3338647008.50733,927906296.551408,1523410840.91896
2089,708358495.398637,1361205639.66835,59697431.506644,276530843.748855,3143053798.50888,952892368.18908,1548367973.59166
2090,752860872.718098,1439150784.61483,55936451.0118666,280106726.743581,3173186416.57787,1000469744.22827,1528684238.93599
2091,722689686.532797,1500930035.60888,58273919.9180191,271726787.941134,2951334015.10581,894990993.029325,1483054176.55956
2092,757504806.495103,1460553388.61349,57128091.2180143,292880014.731621,2999713434.88492,955979300.518975,1549738012.07318
2093,748686533.243902,1509803935.93477,63535123.5125038,310701376.307638,3057658565.09702,938943550.086205,1535435394.31592
2094,745983012.683746,1449704577.8023,59947329.2738313,312265378.035552,3081058735.82841,1013393646.28881,1427497409.34986
2095,720854403.627395,1482823419.15642,61700323.6013046,267316219.533022,3143091641.46141,1083871496.43546,1361475007.68697
2096,770463004.930512,1593583114.72434,62119144.6190594,275452881.565592,3359746962.36702,894541394.87245,1398862168.78925
2097,685387490.449684,1755963563.39097,62707145.3681313,309213263.91902,3553004294.72333,711964269.097171,1311539346.12029
2098,620352353.264172,1690975851.94116,59410090.591446,317631749.4297,2899013111.67819,788382254.428268,1375752912.13744
2099,625084483.45221,1646508102.47116,59508728.151454,352954224.71737,2916128986.16691,858858744.221785,1523799417.74998
